code,product_name,countries,ingredients_text,sugars_100g,nutrition_grade_fr,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,proteins_100g,energy_100g,brands,additives_n,nutrition-score-fr_100g,carbohydrates_100g,pnns_groups_combined
5410126006957,pasta à tartiner speculoos,"france, en:belgium","original speculoos 58 % (farine de _blé_, sucre, huile végétales (palme certifié durable, colza), sirop de sucre candi, poudre à lever (carbonate acide de sodium), farine de _soja_, sel, cannelle), huile de colza, sucre, émulsifiant (lécithine de _soja_), acidifiant (acide citrique).",36.8,E,38.10000000000001,7.6,0.54,2.4,2.9,2443.0,lotus,3.0,23.0,57.0,snacks sucrés
5410126726954,pâte à tartiner au spéculos,"france,germany, suisse",unknown,36.8,E,38.10000000000001,7.6,0.5334,2.4,2.9,2435.0,lotus,0.0,23.0,57.0,snacks sucrés
5410471111238,gaufrettes au beurre,"france, suisse","farine de _froment_, beurre (26 %) (_lait_), sucre, _œufs_, extrait de vanille naturelle, sel de mer, poudre à lever : carbonate acide de sodium.",35.0,E,25.0,17.0,1.0,0.0,5.8,2130.0,jules destrooper,1.0,27.0,64.0,snacks sucrés
5410471903024,jules' gourmandises,"belgique,france","farine de blé, chocolat noir (22%) (pâte de cacao, sucre, beurre de cacao, graisse de lait anhydre, émulsifiant : lécithine de soja), sucre de candi, beurre (12%); sucre, oeufs, amandes (3%), sel, poudre à lever : carbonate acide de sodium, chocolat blanc (sucre, beurre de cacao, poudre de lait entier, émulsifiant : lécithine de soja), sirope de candi, cannelle. contient du _gluten_, du _soja_, du _lait_, des _fruits à coque_ et des _œufs_.",43.5,E,19.1,11.600000000000001,0.5,0.0,6.4,2003.0,jules destrooper,2.0,26.0,68.4,snacks sucrés
5412038210118,pâte à tartiner chocolat noir 85,"france,belgique","_lait_ concentré sucré (_lait_, sucre), sirop de glucose, chocolat noir à min. 85% cacao (pâte de cacao, sucre, beurre de cacao, émulsifiant : lécithine de _soja_), sirop de sucre inverti, pâte de cacao, sucre caramélisé, sirop de glucose-fructose caramélisé.",43.89999999999999,E,13.7,8.4,0.0,2.4,4.8,1586.0,galler,1.0,21.0,57.0,snacks sucrés
5412038243093,le bâton framboise - noir,"france,belgique","chocolat (45%) : pâte de cacao, sucre, beurre de cacao, émulsifiant : lécithine de _soja_, arôme naturel de vanille. cacao 60% minimum. fourrage (55%) : sucre, agent de charge : polydextrose, framboises 8%, huile de colza, arôme naturel de framboise, poudre de _lait_ entier, sirop de glucose, beurre de cacao, sirop de sucre inverti, antiagglomérant : isomalt, dextrine, inuline,  émulsifiant : lécithine de _soja_, arôme naturel de vanille.",44.8,E,24.4,14.7,0.1,0.0,3.9,1750.0,galler,4.0,24.0,45.9,snacks sucrés
5412956214540,chocolat mûres gingembre,"belgique,france","pâte de cacao, sucre, granules de mûres 3,5 % (inuline, arôme naturel, mûre en poudre 2 %), beurre de cacao, matière grasse _laitière_ anhydre, granules de gingembre 1,5 % (inuline, arôme naturel gingembre avec autres arômes naturels), émulsifiant (e322 (_soja_)).",37.0,E,34.0,21.0,0.02,0.0,6.0,2149.0,cachet,1.0,24.0,41.0,snacks sucrés
5413121359042,fancy truffes marc de champagne,"belgique,france","graisses végétales (dans des proportions variables: noix de coco, palme, karité, tournesol, colza), sucre, poudre de cacao maigre 13%, _lactosérum_ en poudre (_lait_), arômes, marc de champagne 1%, émulsifiant: lécithine de _soja_.",36.4,E,47.1,30.999999999999996,0.33,0.0,4.1,2535.0,belgian,1.0,26.0,37.9,snacks sucrés
5413121360659,choc's nuts & raisins,"belgique,france","sucre, pâte de cacao, beurre de cacao, raisins secs 11%, poudre de _lait_ entier, _noisettes_ 5%, _noix de cajou_ 5%, _amandes_ 5%, _lactosérum_ en poudre (_lait_), _lactose_, _beurre_ clarifié (_lait_), émulsifiant : lécithine de _soja_; arôme naturel: vanille.",50.9,E,31.1,15.2,0.13,0.0,6.8,2192.0,belgian,1.0,26.0,52.0,snacks sucrés
5413121360840,milk chocolate with cookie crunch,"belgique,france","sucre, beurre de cacao, poudre de _lait_ entier, pâte de cacao, biscuits 10% (sucre, farine de _blé_, graisses végétales (dans des proportions variables: tournesol, colza), _beurre_ clarifié (_lait_), _lactose_, sel, _lait_, poudre à lever : e500ii, émulsifiant : lécithine de tournesol; extrait de malt d'_orge_, antioxydant : e306), _lactose_, lactosérum en poudre (_lait_), émulsifiant : lécithine de _soja_; arôme naturel: vanille.",56.2,E,28.0,17.0,0.3,0.0,5.8,2180.0,belgian,3.0,27.0,59.8,snacks sucrés
5413415233300,chocolat noir poivre rose,"france,belgique","masse de cacao, sucre, beurre de cacao, poivre rose 1%, émulsifiant, lécithine de _soja_, arôme naturel de vanille",38.0,E,35.0,21.0,0.03048,2.4,7.0,2230.0,dolfin,1.0,19.0,43.0,snacks sucrés
5413548015552,schoko-bons - kinder - 500 g,"france, suisse","chocolat supérieur au lait 50% (sucre, lait en poudre, beurre de cacao, pâte de cacao, émulsifiants: lécithines [soja], arômes), sucre, lait écrémé en poudre, huile de palme, noisettes 5,8%, beurre concentré, chocolat noir (sucre, pâte de cacao, beurre de cacao, émulsifiants : lécithines [soja], arômes), agents d'enrobage (gomme arabique, gomme schellac), sirop de glucose, émulsifiants: lécithines [soja], arômes.",52.2,E,36.6,21.2,0.28,0.0,8.3,2401.0,kinder,3.0,28.0,52.5,snacks sucrés
5413548017914,kinder suprise,"france, en:switzerland, en:belgium","chocolat supérieur au lait 47% (sucre, lait en poudre, beurre de cacao, pâte de cacao, émulsifiants : lécithines (soja), vanilline), lait écrémé en poudre, sucre, graisses végétales, beurre concentré, émulsifiants : lécithines (soja), vanilline",53.1,E,33.7,22.2,0.3048,2.4,8.8,2312.0,"kinder,ferrero",1.0,26.0,53.3,snacks sucrés
5413548280189,kinder schoko-bons,"france,allemagne, suisse","chocolat supérieur au _lait_ 50% (sucre, _lait_ en poudre, beurre de cacao, pâte de cacao, émulsifiants : lécithines (_soja_), arômes), sucre, _lait_ écrémé en poudre, huile de palme, noisettes 5,8%, _beurre_ concentré, chocolat noir (sucre, pâte de cacao, beurre de cacao, émulsifiants : lécithines (_soja_), arômes), agents d'enrobage (gomme arabique, gomme schellac), sirop de glucose, émulsifiants : lécithines (_soja_), arômes.",52.2,E,36.6,21.2,0.28,0.0,8.3,2401.0,"kinder,ferrero",3.0,28.0,52.5,snacks sucrés
5413548280677,schoko-bons,"france, en:switzerland","chocolat supérieur au lait 50% (sucre, lait en poudre, beurre de cacao, pâte de cacao, émulsifiants : lécithines (soja), arôme), sucre, lait écrémé en poudre, graisse végétale, noisettes 5,8%, beurre concentré, chocolat (sucre, pâte de cacao, beurre de cacao, émulsifiants : lécithines (soja), arôme), agents d'enrobage (gomme arabique, gomme shellac e904), sirop de glucose, émulsifiants : léticithines (soja), arômes.",52.2,E,36.6,21.2,0.28,0.0,8.3,2401.0,"kinder,ferrero",3.0,28.0,52.5,snacks sucrés
5420051400096,chocolat noix de coco,"belgium,france","sucre de canne, _lait_ entier en poudre, beurre de cacao, éclats de noix de coco râpée 10%, pâte de cacao de la république dominicaine 9%, émulsifiant : lécithine de _soja_, arôme naturel de noix de coco, extrait de vanille.",45.7,E,36.5,21.0,0.23,2.4,8.1,2328.0,ethiquable,1.0,22.0,46.8,snacks sucrés
5425008340050,lavande,"belgique,france,royaume-uni","sucre de canne, pur beurre de cacao, poudre de _lait_ écrémé, pâte de cacao, arôme naturel de lavande, émulsifiant : lécithine de _soja_, arôme naturel de vanille.",48.5,E,36.0,21.5,0.152,2.4,8.0,2340.0,newtree,1.0,23.0,52.0,snacks sucrés
5425008341057,pâte à tartiner au chocolat noir newtree,"belgique,france","glucose, lait entier, sirop de sucre inverti, chocolat noir (pâte de cacao, sucre de canne, fibre d'agave (inuline), pur beurre de cacao, émulsifiant : lécithine de soja, arôme naturel de vanille. cacao : 66 % minimum), inuline/oligofructose (fibre beneo), cacao maigre en poudre, sorbate de potassium, sel, extrait naturel de romarin. sans gluten",38.4,D,8.8,5.7,0.10414,2.4,3.1,1272.0,newtree,2.0,11.0,48.9,snacks sucrés
5425008341064,pâte à tartiner au lait newtree,"belgique,france","glucose, chocolat au lait (sucre, pur beurre de cacao, poudre de lait entier, pâte de cacao, émulsifiant : lécithine de soja, arôme naturel de vanille. cacao : 33 % minimum), lait entier, sirop de sucre inverti, (fibre beneo), miel, cacao maigre en poudre, sorbate de potassium, sel, extrait naturel de romarin.",42.9,D,10.4,5.5,0.1524,2.4,3.7,1368.0,newtree,2.0,13.0,52.0,snacks sucrés
5425008342931,barre de chocolat au spéculoos newtree,"france,belgium","pâte de cacao, sucre de canne, spéculoos (14 %) (farine de blé, sucre de canne, graisses végétales non-hydrogénées, miel, farine de soja, bicarbonate de sodium, cannelle), fibres d'agave (inuline), pur beurre de cacao, graines de lin (6 %), arôme naturelle de cannelle, émulsifiant : lécithine de soja, arôme naturel de vanille. cacao : minimum 66 %. gluten",27.5,D,32.4,18.8,0.14478,2.4,6.4,2079.0,newtree,2.0,17.0,38.0,snacks sucrés
5425008344584,barre au chocolat superfruit newtree,"france,belgium","pâte de cacao, sucre, fibres diététiques (inuline & oligofructose, dextrine), pur beurre de cacao, canneberges (4.7 %, grenades lyophilisées (2.5 %), extrait naturel de marc de raisin, arôme naturel de papaye (0.2 %), émulsifiant : lécithine de soja, arôme naturel de vanille. cacao : minimum 65 %. ",28.6,D,33.4,20.8,0.010922,2.4,5.1,2046.0,newtree,2.0,17.0,39.5,snacks sucrés
5425008345017,newtree chocolat noir,"belgique,france","pâte de cacao, sucre de canne, fibre d'agave (inuline), pur beurre de cacao, émulsifiant : lécithine de soja, arôme naturel de vanille. cacao : minimum 66 %.",29.0,D,35.0,22.0,0.0127,2.4,5.5,2140.0,newtree,1.0,17.0,34.5,snacks sucrés
5425008345048,orange amère,"belgique,france","pur beurre de cacao, sucre de canne, fibres d'agave (inuline), poudre de lait écrémé, pâte de cacao, quinoa (5 %), extrait de fleur de tilleul, arôme naturel d'orange amère, émulsifiant : lécithine de soja, arôme naturel de vanille.",31.0,D,34.5,21.5,0.152,2.4,7.5,2140.0,newtree,1.0,17.0,37.0,snacks sucrés
5425008345055,cannelle ,"belgique,france","pure beurre de cacao, sucre de cannes, fibre d'agave (inuline), lait écrémé en poudre, pâte de cacao, extrait de fleur de tilleul, arôme de cannelle, émulsifiant : lécithine de soja sans ogm, arôme de vanille. ",32.5,D,35.5,22.5,0.152,2.4,7.0,2180.0,newtree,1.0,18.0,36.0,snacks sucrés
5425008345062,cerise,"belgique,france","pâte de cacao, sucre de canne, fibre d'agave (inuline), pur beurre de cacao, arôme naturel : cerise, extrait de marc de raisin, émulsifiant: lécithine de soja, arôme naturel de vanille.",28.5,D,34.5,21.5,0.0127,2.4,5.0,2120.0,newtree,1.0,17.0,34.0,snacks sucrés
5425008345079,gingembre,"belgique,france","pâte de cacao, sucre de canne, fibre d'agave (inuline), pur beurre de cacao, pépites au gingembre (6 % contenant 5 % de gingembre), extrait de guarana, arôme naturel de gingembre, émulsifiant: lécithine de soja, arôme naturel de vanille. ",32.0,D,32.5,20.0,0.0381,2.4,5.0,2070.0,newtree,1.0,18.0,37.5,snacks sucrés
5425008345086,lait,"belgique,france","pur beurre de cacao, sucre de canne, fibres d'agave (inuline), lait écrémé en poudre, pâte de cacao, émulsifiant :lécithine de soja, arôme naturel de vanille. ",33.0,D,36.5,22.5,0.165,2.4,7.0,2220.0,newtree,1.0,18.0,36.5,snacks sucrés
5425008345093,quinoa,"belgique,france","pâte de cacao, sucre de canne, fibres d'agave (inuline), pur beurre de cacao, graines de lin (6 %), quinoa (5 %), émulsifiant : lécithine de soja, arôme naturel de vanille. ",26.0,D,33.5,19.5,0.0127,2.4,6.5,2070.0,newtree,1.0,16.0,34.5,snacks sucrés
5425008345109,thym,"belgique,france","pâte de cacao, sucre de canne, fibres d'agave (inuline), pur beurre de cacao, graines de lin (6 %), quinoa (5 %), arôme naturel de thym, émulsifiant : lécithine de soja, arôme naturel de vanille",26.0,D,33.0,19.5,0.0127,2.4,6.5,2070.0,newtree,1.0,16.0,34.0,snacks sucrés
5425008345116,piment,"belgique,france","pâte de cacao, sucre de canne, fibres d'agave (inuline), pur beurre de cacao, graine de lin (6 %), quinoa (5 %), arôme naturel de piment, émulsifiant : lécithine de soja, arôme naturel de vanille. ",26.0,D,33.0,19.5,0.0127,2.4,6.5,2070.0,newtree,1.0,16.0,34.0,snacks sucrés
